player_name,total_aura_score,mean_aura_score,xT_per_action,opp_bypassed,total_actions,matches,position,aura_per_match
Jens Stryger Larsen,1.0105,0.00552,0.0005,0.40984,183,2,Right Wing Back,0.50525
Philip Foden,1.00737,0.00714,0.00194,0.19858,141,2,Center Attacking Midfield,0.50369
Sofyan Amrabat,1.50165,0.00348,0.00037,0.5,432,3,Center Defensive Midfield,0.50055
Jules Koundé,1.47342,0.00387,0.00049,0.27822,381,3,Right Back,0.49114
Yahia Attiyat allah,1.41871,0.00541,0.00286,0.4542,262,3,Left Back,0.4729
Nicolás Hernán Otamendi,1.40451,0.00268,0.00024,0.25573,524,3,Center Back,0.46817
Theo Bernard François Hernández,1.40176,0.00437,0.001,0.29595,321,3,Left Back,0.46725
Lautaro Javier Martínez,0.9327,0.01072,0.02172,0.03448,87,2,Left Center Forward,0.46635
Achraf Dari,1.38309,0.00494,0.00186,0.25714,280,3,Right Center Back,0.46103
Dayotchanculle Upamecano,0.90931,0.00315,0.00013,0.46713,289,2,Left Center Back,0.45466
Youssef En-Nesyri,1.34732,0.00864,0.00637,0.08333,156,3,Center Forward,0.44911
Kasper Dolberg,0.89819,0.00707,0.00465,0.19685,127,2,Center Forward,0.4491
Ousmane Dembélé,1.34699,0.00541,0.00134,0.29317,249,3,Right Wing,0.449
Cristian Gabriel Romero,1.32928,0.00337,0.00027,0.46193,394,3,Right Center Back,0.44309
Kasper Schmeichel,0.88506,0.0067,-0.00028,0.53788,132,2,Goalkeeper,0.44253
Jordan Brian Henderson,1.76878,0.00454,0.00134,0.31282,390,4,Left Defensive Midfield,0.4422
Sofiane Boufal,1.31041,0.00498,0.00163,0.42586,263,3,Left Midfield,0.4368
Nahuel Molina Lucero,1.27667,0.00387,0.00218,0.37879,330,3,Right Wing Back,0.42556
Unai Simón Mendibil,0.83414,0.00352,0.0,0.21519,237,2,Goalkeeper,0.41707
Gianluigi Donnarumma,1.2114,0.00505,-0.00014,0.37083,240,3,Goalkeeper,0.4038
Bruno Petković,1.20038,0.00774,0.00244,0.27097,155,3,Center Forward,0.40013
Raphaël Varane,1.17049,0.00298,0.00038,0.36387,393,3,Right Center Back,0.39016
Andreas Christensen,0.77641,0.00398,0.00013,0.48205,195,2,Right Center Back,0.3882
Bryan Cristante,0.776,0.00588,0.00179,0.31061,132,2,Left Center Midfield,0.388
Dominik Livaković,1.14461,0.00575,-6e-05,0.26131,199,3,Goalkeeper,0.38154
Lovro Majer,1.14196,0.00534,0.0046,0.28037,214,3,Left Center Midfield,0.38065
Jawad El Yamiq,1.13363,0.00297,0.00042,0.26178,382,3,Right Center Back,0.37788
Borna Sosa,0.73037,0.00355,0.00057,0.35922,206,2,Left Back,0.36518
Youssouf Fofana,0.71231,0.00478,0.00138,0.30872,149,2,Left Defensive Midfield,0.35616
Joachim Andersen,0.71122,0.00598,0.00036,0.35294,119,2,Right Center Back,0.35561
Nicolás Alejandro Tagliafico,1.06531,0.00418,0.00061,0.3451,255,3,Left Wing Back,0.3551
Jadon Sancho,0.70133,0.00408,0.00088,0.21512,172,2,Right Wing,0.35066
Marcos Javier Acuña,0.69345,0.00456,0.00083,0.34868,152,2,Left Wing Back,0.34672
Daniel Wass,0.68949,0.00526,0.00077,0.30534,131,2,Right Wing Back,0.34474
Domenico Berardi,1.03009,0.00585,0.00399,0.17614,176,3,Left Wing,0.34336
Marko Livaja,0.64949,0.00783,0.00111,0.33735,83,2,Center Attacking Midfield,0.32474
Kieran Trippier,0.96999,0.00577,0.00142,0.30952,168,3,Left Back,0.32333
Mislav Oršić,0.95031,0.00566,0.00178,0.30952,168,3,Left Midfield,0.31677
Christian Nørgaard,0.62652,0.00432,0.00074,0.22759,145,2,Right Attacking Midfield,0.31326
Yassine Bounou,0.87898,0.00478,0.00033,0.40217,184,3,Goalkeeper,0.29299
Selim Amallah,0.85219,0.00386,0.00122,0.21719,221,3,Left Center Midfield,0.28406
Jordan Pickford,1.13376,0.00454,-0.00054,0.564,250,4,Goalkeeper,0.28344
Mario Pašalić,0.83196,0.0041,0.00139,0.21675,203,3,Right Wing,0.27732
Jack Grealish,0.8094,0.00736,0.00204,0.31818,110,3,Left Wing,0.2698
Damián Emiliano Martínez,0.7887,0.00563,-0.00045,1.09286,140,3,Goalkeeper,0.2629
Nikola Vlašić,0.77211,0.00505,0.00329,0.17647,153,3,Right Wing,0.25737
Leandro Daniel Paredes,0.75756,0.00277,0.0062,0.42491,273,3,Right Center Midfield,0.25252
