Feature,Mean_SHAP_Abs
dist_to_goal,0.0012801832172027532
location_x,0.0010517404781163863
pressing_intensity,0.0006087903975427513
angle_to_goal,0.0004191960241276007
teammates_visible,0.0004121564767773004
closest_opp_dist,0.0003673342754506156
duration,0.0003588368913743569
play_pattern_name,0.0003428299433708858
opponents_visible,0.0003126109406479701
opponents_eliminated,0.0002591805829304078
opponents_within_5m,0.00021117595265884786
forward_passing_options,0.00019645341831007158
defenders_in_goal_cone,0.00019634090602774345
position_name,0.00018189031151423163
location_y,0.00015833671387076797
short_combo_options,0.00014577916779365174
spatial_superiority,0.00012957478224757217
under_pressure,5.7490702541966056e-05
defensive_cover,5.512329463782687e-05
opponents_within_3m,2.2825128753257675e-05
