player,aura_score,actions,matches,position,team
Lionel Andrés Messi Cuccittini,1.1698,583,3,Right Wing,Argentina
Achraf Dari,1.1678,280,3,Left Center Back,Morocco
Ondrej Celustka,1.1674,61,1,Right Center Back,Czech Republic
Jordan Brian Henderson,1.1667,390,4,Right Center Midfield,England
Wout Weghorst,1.166,44,1,Right Center Forward,Netherlands
Carlos Henrique Casimiro,1.1603,222,1,Left Defensive Midfield,Brazil
Ricardo Iván Rodríguez Araya,1.1591,108,1,Left Back,Switzerland
Jan Vertonghen,1.1574,176,1,Left Center Back,Belgium
Bryan Cristante,1.1556,132,2,Right Center Midfield,Italy
Raphaël Adelino José Guerreiro,1.1492,69,1,Left Back,Portugal
Simon Thorup Kjær,1.1414,258,2,Center Back,Denmark
Thomas Delaney,1.1406,224,2,Left Defensive Midfield,Denmark
Steven Berghuis,1.1334,101,1,Center Attacking Midfield,Netherlands
Jordi Alba Ramos,1.1321,557,2,Left Back,Spain
Jules Koundé,1.1314,381,3,Right Back,France
Joachim Andersen,1.1257,119,2,Right Center Back,Denmark
Selim Amallah,1.1254,221,3,Left Center Midfield,Morocco
Abdelhamid Sabiri,1.1246,53,1,Left Center Midfield,Morocco
Ilias Chair,1.12,52,1,Right Wing,Morocco
Lovro Majer,1.1144,214,3,Right Wing,Croatia
Antoine Griezmann,1.1138,375,3,Center Attacking Midfield,France
Lucas Tolentino Coelho de Lima,1.1114,205,1,Right Defensive Midfield,Brazil
Hakim Ziyech,1.1097,526,3,Right Wing,Morocco
Haris Seferović,1.1019,67,1,Center Forward,Switzerland
Nicolò Barella,1.1004,380,3,Right Center Midfield,Italy
Jan Bořil,1.0997,133,1,Left Back,Czech Republic
Jadon Sancho,1.099,172,2,Right Center Midfield,England
Nicolás Alejandro Tagliafico,1.096,255,3,Left Back,Argentina
Dominic Calvert-Lewin,1.0947,28,1,Center Forward,England
Roman Yaremchuk,1.0944,120,1,Left Center Forward,Ukraine
Éder Gabriel Militão,1.0944,236,1,Right Back,Brazil
Viktor Tsygankov,1.0938,102,1,Left Wing,Ukraine
Hugo Lloris,1.0919,151,3,Goalkeeper,France
Walid Cheddira,1.0888,48,1,Center Forward,Morocco
Vladimír Coufal,1.0832,156,1,Right Back,Czech Republic
Nahuel Molina Lucero,1.0814,330,3,Right Back,Argentina
Steven Zuber,1.0724,85,1,Left Wing,Switzerland
Mathias Jensen,1.0712,50,2,Right Center Midfield,Denmark
Jannik Vestergaard,1.0698,209,2,Left Center Back,Denmark
Rafael Tolói,1.0674,41,2,Right Back,Italy
Josip Stanišić,1.0659,102,1,Right Back,Croatia
Álvaro Borja Morata Martín,1.0622,182,2,Center Forward,Spain
Neymar da Silva Santos Junior,1.0593,243,1,Center Attacking Midfield,Brazil
Mario Gavranović,1.0578,44,1,Center Forward,Switzerland
Badr Banoun,1.0575,69,2,Left Center Back,Morocco
Youri Tielemans,1.0568,71,1,Right Defensive Midfield,Belgium
Cody Mathès Gakpo,1.0562,162,1,Center Attacking Midfield,Netherlands
Vitalii Mykolenko,1.056,190,1,Left Wing Back,Ukraine
Christian Fassnacht,1.0544,54,1,Right Wing,Switzerland
Andriy Yarmolenko,1.0519,129,1,Right Center Forward,Ukraine
Jude Bellingham,1.0476,209,2,Left Center Midfield,England
Paulo Bruno Exequiel Dybala,1.0457,57,2,Left Center Midfield,Argentina
Vladimír Darida,1.0448,29,1,Right Midfield,Czech Republic
Luuk de Jong,1.044,60,1,Left Center Forward,Netherlands
Oleksandr Karavaev,1.0412,162,1,Right Wing Back,Ukraine
Andries Noppert,1.0394,103,1,Goalkeeper,Netherlands
Denzel Dumfries,1.0391,122,1,Right Wing Back,Netherlands
Jakub Brabec,1.0338,51,1,Right Center Back,Czech Republic
João Félix Sequeira,1.0337,92,1,Left Wing,Portugal
Petr Ševčík,1.033,118,1,Left Wing,Czech Republic
Jakub Jankto,1.0298,71,1,Left Midfield,Czech Republic
Juan Marcos Foyth,1.0297,11,1,Right Wing Back,Argentina
Giovanni Di Lorenzo,1.0285,439,3,Right Back,Italy
Marcos Javier Acuña,1.0277,152,2,Left Wing,Argentina
Mario Pašalić,1.0251,203,3,Center Attacking Midfield,Croatia
Lorenzo Insigne,1.023,503,3,Left Wing,Italy
Yann Sommer,1.023,114,1,Goalkeeper,Switzerland
Yahia Attiyat allah,1.0229,262,3,Left Back,Morocco
Andrej Kramarić,1.022,268,3,Center Attacking Midfield,Croatia
Djibril Sow,1.0211,42,1,Center Attacking Midfield,Switzerland
Theo Bernard François Hernández,1.0193,321,3,Left Back,France
Josip Juranović,1.0188,350,2,Right Back,Croatia
Silvan Widmer,1.0173,119,1,Right Back,Switzerland
Daniel Olmo Carvajal,1.0167,408,2,Center Forward,Spain
Damián Emiliano Martínez,1.0129,140,3,Goalkeeper,Argentina
Gonçalo Matias Ramos,1.0078,42,1,Center Forward,Portugal
Jordan Pickford,1.0073,250,4,Goalkeeper,England
Achraf Hakimi Mouh,1.0061,514,3,Right Back,Morocco
Jens Stryger Larsen,1.0059,183,2,Right Wing Back,Denmark
Luke Shaw,1.0056,767,4,Left Back,England
Mikkel Damsgaard,1.0039,184,2,Left Wing,Denmark
Unai Simón Mendibil,1.0022,237,2,Goalkeeper,Spain
Lautaro Javier Martínez,1.0015,87,2,Center Forward,Argentina
Pablo Sarabia García,1.0013,62,1,Left Wing,Spain
Diogo Meireles Costa,1.0002,33,1,Goalkeeper,Portugal
Borna Sosa,0.9996,206,2,Left Back,Croatia
Ivan Perišić,0.9959,373,3,Left Back,Croatia
Bilal El Khannous,0.9955,84,1,Right Center Midfield,Morocco
Alisson Ramsés Becker,0.9948,51,1,Goalkeeper,Brazil
Thorgan Hazard,0.9946,146,1,Left Wing Back,Belgium
Olivier Giroud,0.9919,157,3,Center Forward,France
Youssef En-Nesyri,0.9886,156,3,Center Forward,Morocco
Thomas Meunier,0.9885,98,1,Right Wing Back,Belgium
Federico Bernardeschi,0.9867,56,2,Center Forward,Italy
Marcos Llorente Moreno,0.9864,146,2,Right Back,Spain
Nikola Vlašić,0.986,153,3,Right Wing,Croatia
Patrik Schick,0.9846,76,1,Center Forward,Czech Republic
Leonardo Spinazzola,0.9814,119,1,Left Back,Italy
Ousmane Dembélé,0.9771,249,3,Right Wing,France
Kevin De Bruyne,0.9764,123,1,Right Attacking Midfield,Belgium
Raphael Dias Belloli,0.9753,89,1,Right Midfield,Brazil
