iter	RMSE
0	0.01656668328
1	0.01643965679
2	0.01632046028
3	0.01622359668
4	0.01616292223
5	0.01609802406
6	0.01604108685
7	0.01599575059
8	0.01593148531
9	0.01585919201
10	0.0158197313
11	0.01576593462
12	0.01572213555
13	0.01567696825
14	0.01560850934
15	0.01553464445
16	0.0154897974
17	0.01544292915
18	0.01541535999
19	0.01539151323
20	0.01535937526
21	0.01533928003
22	0.01530339081
23	0.01526949188
24	0.01524247216
25	0.01521162227
26	0.01518572386
27	0.0151504846
28	0.01512918101
29	0.01510113723
30	0.01508974846
31	0.01507325279
32	0.01506766934
33	0.01504759446
34	0.01502326818
35	0.01498674258
36	0.01497189446
37	0.01493875471
38	0.01492730931
39	0.01491907787
40	0.01490572552
41	0.01490536857
42	0.01489119805
43	0.01487319435
44	0.01487190773
45	0.01484811198
46	0.01482597734
47	0.01480855646
48	0.01480839738
49	0.01479513072
50	0.01479491102
51	0.014784647
52	0.01476105149
53	0.01475087547
54	0.01474081908
55	0.01474063609
56	0.01472735103
57	0.01471787297
58	0.01469554186
59	0.01468185303
60	0.01465875288
61	0.01464612915
62	0.014642123
63	0.01463259352
64	0.01462550457
65	0.01462539449
66	0.01461512814
67	0.01461503956
68	0.01460517819
69	0.01460080422
70	0.01457633906
71	0.01456763204
72	0.01456753164
73	0.01455657906
74	0.01455653309
75	0.01455521369
76	0.0145550037
77	0.01454952074
78	0.0145465338
79	0.01452403553
80	0.01451908181
81	0.01451658096
82	0.01450236536
83	0.01449439813
84	0.0144924327
85	0.01449232466
86	0.01449227981
87	0.01449226851
88	0.01449223587
89	0.01449218215
90	0.01447105822
91	0.01446349176
92	0.01445648295
93	0.01444896346
94	0.01444736241
95	0.01443636073
96	0.01442025264
97	0.01442008404
98	0.01441305395
99	0.01441256957
100	0.01441093489
101	0.0144052959
102	0.01438739139
103	0.0143640035
104	0.01435976481
105	0.01435278043
106	0.01434956738
107	0.01434296663
108	0.01434265905
109	0.01433693916
110	0.01431907104
111	0.01430613081
112	0.01429334586
113	0.01428866757
114	0.01427626313
115	0.01426913728
116	0.01426837793
117	0.01426836067
118	0.01426432684
119	0.01426430332
120	0.01425594128
121	0.01424445842
122	0.0142347647
123	0.01423455736
124	0.01422912929
125	0.01422833471
126	0.01422686703
127	0.0142131502
128	0.01421314247
129	0.0142066649
130	0.01419962202
131	0.01418606855
132	0.01418529696
133	0.01417745046
134	0.01417735985
135	0.01416537948
136	0.01416338163
137	0.01416254378
138	0.01414703739
139	0.01414380859
140	0.01413772972
141	0.0141321086
142	0.01413208637
143	0.0141277157
144	0.01412252268
145	0.01411933223
146	0.01410487043
147	0.01410017012
148	0.01407229264
149	0.01407229069
150	0.01406401963
151	0.01406016581
152	0.01405946382
153	0.0140591576
154	0.01405915204
155	0.01405899631
156	0.01404709999
157	0.01404703875
158	0.01403940013
159	0.01403127812
160	0.01402578198
161	0.01402380967
162	0.01401388648
163	0.01400468192
164	0.01400463685
165	0.01400459799
166	0.01398811608
167	0.01398312828
168	0.01395337707
169	0.01395218027
170	0.01395056903
171	0.01392945504
172	0.01392130533
173	0.01390565994
174	0.01389991072
175	0.01389814718
176	0.01389557209
177	0.0138955355
178	0.013895504
179	0.01388508328
180	0.01388042363
181	0.01386045867
182	0.01384884733
183	0.01384175669
184	0.01383635559
185	0.01383633152
186	0.01383631078
187	0.01383629291
188	0.01383282468
189	0.013832809
190	0.01383279546
191	0.01382757699
192	0.0138228084
193	0.01380544928
194	0.01380238338
195	0.01378654502
196	0.0137776524
197	0.01376507924
198	0.01376506582
199	0.01375763895
